term,estimate,std.error,statistic,p.value,padj
(Intercept),0.678104358373243,0.12906002644731343,5.254178052179988,2.225743148102206e-7,8.902972592408824e-7
serum_prostatic_acid_phosphatase,-0.012167910756959579,0.003633804121329258,-3.3485323783794145,8.752479725132464e-4,0.0017504959450264927
serum_hemoglobin,-0.04676304810429219,0.00950175856450655,-4.9215150844785445,1.1764959727225e-6,3.1373225939266665e-6
serum_prostatic_acid_phosphatase:serum_hemoglobin,0.001809611464771336,3.361674369806565e-4,5.3830658942599,1.1396360872649392e-7,8.902972592408824e-7
