term,estimate,std.error,statistic,p.value,padj
(Intercept),2.7658321638366608,0.5179316730896772,5.340148725289042,1.4324299283138815e-7,1.002700949819717e-6
log(serum_prostatic_acid_phosphatase),0.19582986333182664,0.04383196505376199,4.467740907614615,9.856102594078718e-6,3.449635907927551e-5
